File	Segment	Position	Code1	Code2	Seg_Start	Seg_End	Word	Word_Start	Word_End	Pre_Seg	Pre_Seg_Start	Pre_Seg_End	Post_Seg	Post_Seg_Start	Post_Seg_End	Window	Vowels_per_Second	Comments	Warnings																																		
Bill_m53_BB2015	T	Internal	g	m	453.297	453.327	HOGHTON	453.037	453.478	AO	453.097	453.297	AH	453.327	453.357	1.602	4.37																																				
Bill_m53_BB2015	T	End	f		913.987	914.048	THAT	913.898	914.048	AE	913.928	913.987	EY	914.048	914.268	1.471	4.079																																				
Bill_m53_BB2015	T	Internal	g	m	454.269	454.299	HOGHTON	454.109	454.418	AO	454.148	454.269	AH	454.299	454.329	1.59	4.403																																				
Bill_m53_BB2015	T	End	g		919.776	919.867	BIT	919.536	919.867	IH	919.627	919.776	AY	919.867	920.046	1.621	4.935																																				
Bill_m53_BB2015	T	Internal	t	m	2487.985	2488.105	HOTEL	2487.775	2488.355	OW	2487.855	2487.985	EH	2488.105	2488.134	2.114	2.838																																				
Bill_m53_BB2015	T	Internal	t	m	2713.036	2713.136	HOTEL	2712.876	2713.216	OW	2712.906	2713.036	EH	2713.136	2713.176	1.11	8.108																																				
Bill_m53_BB2015	T	Internal	t	b	804.665	804.725	INSENSITIVE	804.005	804.795	AH	804.605	804.665	IH	804.725	804.755	1.77	5.65																																				
Bill_m53_BB2015	T	End	g		929.723	929.753	THAT	929.543	929.753	AE	929.673	929.723	AH	929.753	929.793	1.06	6.604																																				
Bill_m53_BB2015	T	End	g		953.63	953.659	WITHOUT	953.42	953.659	AW	953.53	953.63	EH	953.659	953.71	1.336	4.491																																				
Bill_m53_BB2015	T	End	f		967.469	967.499	WHAT	967.388	967.499	AH	967.438	967.469	IH	967.499	967.528	0.941	8.502																																				
Bill_m53_BB2015	T	End	g		987.056	987.115	BUT	986.826	987.115	AH	986.945	987.056	AH	987.115	987.195	1.701	4.703																																				
Bill_m53_BB2015	T	End	g		988.745	988.776	WHAT	988.596	988.776	AH	988.656	988.745	AY	988.776	988.806	0.949	7.376																																				
Bill_m53_BB2015	T	End	g		989.436	989.466	QUITE	989.255	989.466	AY	989.366	989.436	AH	989.466	989.516	1.199	6.672																																				
Bill_m53_BB2015	T	End	0		989.966	990.005	IT	989.936	990.005	AH	989.936	989.966	AO	990.005	990.096	1.064	5.639																																				
Bill_m53_BB2015	T	End	g		993.799	993.849	THOUGHT	993.549	993.849	AO	993.649	993.799	AE	993.849	993.939	1.3	5.385																																				
Bill_m53_BB2015	T	Internal	t	b	829.181	829.291	IRRITATED	828.811	829.361	EY	829.051	829.181	AH	829.291	829.331	1.23	8.943																																				
Bill_m53_BB2015	T	End	g		996.538	996.569	BIT	996.458	996.569	IH	996.509	996.538	AH	996.569	996.599	0.937	8.538																																				
Bill_m53_BB2015	T	End	g		1029.496	1029.527	ABOUT	1029.347	1029.527	AW	1029.407	1029.496	EY	1029.527	1029.557	1.25	6.4																																				
Bill_m53_BB2015	T	End	g		1031.173	1031.203	ABOUT	1031.023	1031.203	AW	1031.083	1031.173	AH	1031.203	1031.233	1.229	9.764																																				
Bill_m53_BB2015	T	End	g		1033.716	1033.746	LOT	1033.576	1033.746	AA	1033.636	1033.716	AH	1033.746	1033.786	1.169	8.554																																				
Bill_m53_BB2015	T	End	g		1034.696	1034.726	BUT	1034.486	1034.726	AH	1034.566	1034.696	AY	1034.726	1034.836	1.391	7.189																																				
Bill_m53_BB2015	T	End	f		1049.103	1049.133	WHAT	1049.023	1049.133	AH	1049.053	1049.103	AY	1049.133	1049.163	0.785	7.643																																				
Bill_m53_BB2015	T	End	f		1049.862	1049.902	WHAT	1049.742	1049.902	AH	1049.822	1049.862	AY	1049.902	1049.942	1.02	6.863																																				
Bill_m53_BB2015	T	Internal	t	b	2380.914	2381.134	IRRITATED	2380.494	2381.185	EY	2380.754	2380.914	AH	2381.134	2381.164	1.83	5.464																																				
Bill_m53_BB2015	T	End	g		1061.424	1061.484	MINDSET	1060.864	1061.484	EH	1061.234	1061.424	AH	1061.484	1061.515	1.629	4.911																																				
Bill_m53_BB2015	T	End	g		1061.634	1061.734	THAT	1061.545	1061.734	AH	1061.604	1061.634	EY	1061.734	1061.924	1.56	5.128																																				
Bill_m53_BB2015	T	End	g		1077.37	1077.399	LOT	1077.22	1077.399	AA	1077.31	1077.37	AH	1077.399	1077.43	2.053	3.41																																				
Bill_m53_BB2015	T	End	t		1087.9	1088.03	LOT	1087.789	1088.03	AA	1087.829	1087.9	AH	1088.03	1088.07	0.901	7.769																																				
Bill_m53_BB2015	T	End	g		1088.46	1088.49	NOT	1088.34	1088.49	AO	1088.37	1088.46	AH	1088.49	1088.52	1.251	5.596																																				
Bill_m53_BB2015	T	End	g		1098.155	1098.185	BUT	1098.024	1098.185	AH	1098.064	1098.155	IH	1098.185	1098.234	1.301	6.918																																				
Bill_m53_BB2015	T	End	g		1099.285	1099.315	LOT	1099.105	1099.315	AA	1099.165	1099.285	AH	1099.315	1099.344	1	8																																				
Bill_m53_BB2015	T	End	g		1103.087	1103.117	LOT	1102.818	1103.117	AA	1102.907	1103.087	AH	1103.117	1103.147	1.151	6.95																																				
Bill_m53_BB2015	T	End	f		1103.568	1103.598	WHAT	1103.498	1103.598	AH	1103.528	1103.568	AY	1103.598	1103.628	0.871	6.889																																				
Bill_m53_BB2015	T	End	g		1105.358	1105.388	NOT	1105.158	1105.388	AA	1105.288	1105.358	AH	1105.388	1105.438	1.639	5.491																																				
Bill_m53_BB2015	T	End	t		1105.438	1105.547	AT	1105.388	1105.547	AH	1105.388	1105.438	AO	1105.547	1105.608	1.81	5.525																																				
Bill_m53_BB2015	T	End	g		1113.433	1113.463	THAT	1113.373	1113.463	AH	1113.403	1113.433	AH	1113.463	1113.513	1.401	6.424																																				
Bill_m53_BB2015	T	End	f		1121.047	1121.087	WHAT	1120.987	1121.087	AH	1121.017	1121.047	AY	1121.087	1121.117	0.721	8.322																																				
Bill_m53_BB2015	T	End	g		1132.701	1132.73	IT	1132.651	1132.73	IH	1132.651	1132.701	IH	1132.73	1132.791	1.192	3.356																																				
